canonical_tag,anchor_year,km_bucket,column_name,issue_type,severity,message
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r,2021,150000,price_high,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r/km 150000: price_high drops from year 2020 (26450) to year 2021 (25950).
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r,2021,150000,price_low,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r/km 150000: price_low drops from year 2020 (22550) to year 2021 (22050).
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r,2021,150000,price_mid,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r/km 150000: price_mid drops from year 2020 (24500) to year 2021 (24000).
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r,2021,200000,price_high,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r/km 200000: price_high drops from year 2020 (24300) to year 2021 (23750).
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r,2021,200000,price_low,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r/km 200000: price_low drops from year 2020 (20700) to year 2021 (20250).
toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r,2021,200000,price_mid,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_hybrid_auto_hatch_zwe211r/km 200000: price_mid drops from year 2020 (22500) to year 2021 (22000).
toyota_corolla_ascent-sport_petrol_auto_hatch_mzea12r,2021,60000,price_high,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_petrol_auto_hatch_mzea12r/km 60000: price_high drops from year 2019 (28050) to year 2021 (27950).
toyota_corolla_ascent-sport_petrol_auto_hatch_mzea12r,2021,60000,price_low,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_petrol_auto_hatch_mzea12r/km 60000: price_low drops from year 2019 (23900) to year 2021 (23800).
toyota_corolla_ascent-sport_petrol_auto_hatch_mzea12r,2021,60000,price_mid,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_petrol_auto_hatch_mzea12r/km 60000: price_mid drops from year 2019 (25990) to year 2021 (25887).
toyota_corolla_ascent-sport_petrol_auto_hatch_zre18x,2018,30000,price_high,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_petrol_auto_hatch_zre18x/km 30000: price_high drops from year 2016 (24750) to year 2018 (24100).
toyota_corolla_ascent-sport_petrol_auto_hatch_zre18x,2018,30000,price_low,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_petrol_auto_hatch_zre18x/km 30000: price_low drops from year 2016 (21050) to year 2018 (20500).
toyota_corolla_ascent-sport_petrol_auto_hatch_zre18x,2018,30000,price_mid,year_reversal,warning,Anchor-year reversal for toyota_corolla_ascent-sport_petrol_auto_hatch_zre18x/km 30000: price_mid drops from year 2016 (22900) to year 2018 (22300).
