year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,canonical_tag,canonical_reason
2010,mercedes,benz,c200 cgi w204,sedan,automatic,petrol,153418,5.0,WDD2040482A440663,CQ00QL,Unregistered,4.0,1.8,Black,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352724/motor-vehicles-motor-cycles/2010-mercedes-benz-c200-cgi-w204-automatic-sedan,"engine noise observed.
engine oil leak
front cracked bumper.
large scratch on driver side doors
seat torn drivers seat
door card damaged.
other warning light on
door mirror broken passenger side
controls inoperable drivers electric seat adjustment requires attention
dents or marks on body
medium scuff on both bumpers",unclassified,[out_of_scope]
2015,jeep,grand,cherokee overland wk,wagon,automatic,diesel,200795,5.0,1C4RJFGM2FC755609,DAU58S,Unregistered,6.0,3.0,Black,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352725/motor-vehicles-motor-cycles/2015-jeep-grand-cherokee-overland-wk-turbo-diesel-automatic-8-speed-wagon,"medium scratch on rear bumper bar
medium dent on drivers door",unclassified,[out_of_scope]
2018,hsv,colorado,sportscat rg,dual cab,automatic,diesel,138156,5.0,MMU148PK0KH614351,1VP6NB,Unregistered,4.0,2.8,Red,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352726/motor-vehicles-motor-cycles/2018-hsv-colorado-sportscat-rg-turbo-diesel-automatic-dual-cab,medium dent on roof,unclassified,[out_of_scope]
2010,audi,q5,2.0 tfsi quattro 8r,wagon,automatic,petrol,209302,5.0,WAUZZZ8R5BA026267,BTD26H,Unregistered,4.0,2.0,Black,Tan,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352727/motor-vehicles-motor-cycles/2010-audi-q5-2-0-tfsi-quattro-8r-automatic-wagon,"engine noise observed.
hood lining sagging
medium scratch on medium scratches on rear bar
medium scratch on drivers mirrot
paint fading on bonnet
driveline requires attention, recommend inspection by qualified third party",unclassified,[out_of_scope]
2011,bmw,x5,xdrive 30d e70 lci,wagon,automatic,diesel,384302,5.0,WBAZW42070L789673,FJY05P,Unregistered,6.0,3.0,Grey,Black,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352728/motor-vehicles-motor-cycles/2011-bmw-x5-xdrive-30d-e70-lci-turbo-diesel-automatic-8-speed-wagon,"driveline requires attention, recommend inspection by qualified third party
transmission requires attention strongly recommend inspection by qualified third party
other warning light on
engine noise observed.
door mirror broken drivers side
medium dent on drivers quarter panel
damaged rear reflectors cracked
large dent on tail gate both upper and lower
paint peeling drivers guard
front and rear bars damaged cracked bumper.
large scratch on front bar
windscreen chipped or cracked.",unclassified,[out_of_scope]
2011,ford,territory,titanium sz,wagon,automatic,diesel,146852,7.0,6FPAAAJGATBY40403,CDO66U,01-12-2026,6.0,2.7,Blue,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352729/motor-vehicles-motor-cycles/2011-ford-territory-titanium-sz-turbo-diesel-automatic-7-seats-wagon,"front seat worn drivers seat
controls inoperable dvd player
medium dent on passenger doors
large dent on dent and scratched passenger quarter panel
large scratch on rear bar and tailgate
door mirror broken both mirrors broken
large scratch on front bar
paint fading roof
hail damage visible.
driveline requires attention, recommend inspection by qualified third party
transmission requires attention strongly recommend inspection by qualified third party",unclassified,[out_of_scope]
2016,hyundai,iload,tq van,van,manual,petrol,160496,3.0,KMFWBX7RLGU846556,CJ10HR,Unregistered,4.0,2.4,White,Grey,Yes,Yes,Yes,Partial,No,nsw,https://www.grays.com/lot/0001-10352730/motor-vehicles-motor-cycles/2016-hyundai-iload-tq-manual-van,"seat torn front seats torn
body/panel damage rear impact damage to rear step bar and bumper bar
large dent on drivers front door, drivers quarter panel, roof, tailgate, passenger quarter, and passengers sliding door
large scratch on front bar
corrosion visible roof and tailgate
medium dent on scratched passenger guard, tailgate, and side door",unclassified,[out_of_scope]
2011,ford,falcon,xr6 fg,sedan,automatic,petrol,212444,5.0,6FPAAAJGSWBK25150,No plates,Unregistered,6.0,4.0,Blue,Grey,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352731/motor-vehicles-motor-cycles/2011-ford-falcon-xr6-fg-automatic-sedan,"front seat worn drivers seat damaged
large dent on drivers rear door
medium dent on drivers guard and quarter panel
large scratch on front bar
damaged front fog light
medium scratch on front bumper and spoiler
paint cracked front bumper",unclassified,[out_of_scope]
2015,jaguar,xe,v6 s,sedan,automatic,petrol,83420,5.0,SAJAB4AV1GA937347,HH0797,Unregistered,6.0,3.0,Grey,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352732/motor-vehicles-motor-cycles/2015-jaguar-xe-v6-s-automatic-8-speed-sedan,"paint peeling bonnet
engine noise observed.
engine overheating, tow advisable.
medium dent on passenger side rear door",unclassified,[out_of_scope]
2016,mazda,cx-3,s touring dk,wagon,automatic,petrol,278656,5.0,MM0DK2W7A0W125053,YGW77T,Unregistered,4.0,2.0,Black,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352733/motor-vehicles-motor-cycles/2016-mazda-cx-3-s-touring-dk-automatic-wagon,"radio broken
front seat worn drivers seat
seat torn passenger front seat
windscreen chipped or cracked.
door mirror broken both mirrors damaged
body/panel damage front and rear impact damage
paint fading on roof and tail gate
medium dent on passenger rear door, drivers cant rail
large scratch on on various panels
carpet worn in places.
other warning light on
steering requires attention.
suspension requires attention",unclassified,[out_of_scope]
2011,volkswagen,golf,gti,hatchback,manual,petrol,201320,5.0,WVWZZZ1KZCW024658,No plates,Unregistered,4.0,2.0,Grey,Grey,Yes,Yes,Yes,No,Yes,nsw,https://www.grays.com/lot/0001-10352734/motor-vehicles-motor-cycles/2011-volkswagen-golf-gti-manual-hatchback,"damaged headlights
large scratch on all doors, bumper bars
hail damage visible.
large dent on rear doors
paint peeling rear spoiler
other warning light on
controls inoperable drivers inner door handle not working
front seat worn with corrosion evident
medium scuff on rear bumper",unclassified,[out_of_scope]
2004,mitsubishi,pajero,exceed np,wagon,automatic,diesel,174869,7.0,JMFLYV78W5J002114,No plates,Unregistered,4.0,3.2,Gold,Grey,Yes,Yes,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352735/motor-vehicles-motor-cycles/2004-mitsubishi-pajero-exceed-np-turbo-diesel-automatic-7-seats-wagon,"transmission requires attention strongly recommend inspection by qualified third party
front seat worn front seats worn
seat torn drivers seat
medium dent on both guards, drivers door
large scratch on bullbar, rear bar and both side skirts
medium scratch on various panels",unclassified,[out_of_scope]
2021,isuzu,mu-x,4x2 ls-u,wagon,automatic,diesel,214506,7.0,MPAUCR40GMT001412,DB84UW,Unregistered,4.0,3.0,White,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352736/motor-vehicles-motor-cycles/2021-isuzu-mu-x-4x2-ls-u-turbo-diesel-automatic-7-seats-wagon,"large scratch on drivers door
other warning light on",unclassified,[out_of_scope]
2021,toyota,kluger,4x4 gx hybrid axuh78r,wagon,cvt,hybrid,97370,7.0,5TDLB3CH90S050998,DB60JX,Unregistered,4.0,2.5,White,Grey,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352737/motor-vehicles-motor-cycles/2021-toyota-kluger-4x4-gx-hybrid-axuh78r-cvt-7-seats-wagon,"medium dent on drivers quarter panel
medium scratch on rear bar
interior: hoodlining stained",unclassified,[out_of_scope]
2014,citroen,ds5,dsport wovr-repairable,wagon,automatic,diesel,25701,5.0,VF7KFRHHAES513652,No plates,Unregistered,4.0,2.0,Grey,Black,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352738/motor-vehicles-motor-cycles/2014-citroen-ds5-dsport-turbo-diesel-wovr-repairable,"large dent on driver side rear door and quarter panel
steering requires attention.",unclassified,[out_of_scope]
2013,nissan,pathfinder,st r52,wagon,cvt,petrol,121350,7.0,5N1AR2MN1EC603679,DH33TZ,Unregistered,6,3.5,Red,Black,Yes,No,No,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352739/motor-vehicles-motor-cycles/2013-nissan-pathfinder-st-r52-cvt-7-seats-wagon,"hail damage visible.
windscreen chipped or cracked.
large scratch on bumper bars, driver side doors, passenger side rear quarter panel
reverse camera not working
flat battery. jump start or towing required",unclassified,[out_of_scope]
2009,mazda,3,sp25 bl,hatchback,automatic,petrol,217347,5.0,JM0BL10L100113133,EMP44J,Unregistered,4.0,2.5,Black,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352741/motor-vehicles-motor-cycles/2009-mazda-3-sp25-bl-automatic-hatchback,"medium scratch on door jambs
steering requires attention.
suspension requires attention",unclassified,[out_of_scope]
2012,kia,grand,carnival s vq,people mover,automatic,petrol,218202,8.0,KNAMG817MD6516852,EQU90P,12-12-2026,6.0,3.5,Silver,Grey,Yes,Yes,No,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352742/motor-vehicles-motor-cycles/2012-kia-grand-carnival-s-vq-automatic-8-seats-people-mover,"large dent on driver side rear quarter panel
medium dent on passenger side rear quarter panel, tailgate
paint fading bonnet, roof, tailgate
paint peeling front bumper bar, passenger side front guard
rear cracked bumper.
flat battery. jump start or towing required
gear knob broken",unclassified,[out_of_scope]
2007,holden,calais,v ve,sedan,automatic,petrol,125126,5.0,6G1EX55H57L920840,No plates,Unregistered,8.0,6.0,Red,Black,Yes,Yes,Yes,No,Yes,nsw,https://www.grays.com/lot/0001-10352743/motor-vehicles-motor-cycles/2007-holden-calais-v-ve-automatic-sedan,"paint fading roof
paint peeling rear spoiler
abs light on
traction control light on
door card damaged.
large dent on passenger side rear door",unclassified,[out_of_scope]
2016,lexus,rx,350 rx350 f sport ggl25r,wagon,automatic,petrol,345911,5.0,JTJBZMCA402020859,DJZ75Z,30-01-2026,6.0,3.5,Black,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352744/motor-vehicles-motor-cycles/2016-lexus-rx-350-rx350-f-sport-ggl25r-automatic-8-speed-wagon,"paint cracked rear bumper bar
engine noise observed.",unclassified,[out_of_scope]
2013,jeep,grand,cherokee limited wk,wagon,automatic,diesel,233380,5.0,1C4RJFFM0EC166557,FMI61E,Unregistered,6.0,3.0,Grey,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352746/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-limited-wk-turbo-diesel-automatic-8-speed-wagon,"paint fading bonnet
large dent on passenger side rear quarter panel
windscreen chipped or cracked.
seat torn drivers seat
damaged driver side rear foglight",unclassified,[out_of_scope]
2012,nissan,navara,4x4 st d40,dual cab,manual,diesel,134549,5.0,VSKCVND40A0497737,CJP52L,Unregistered,4.0,2.5,White,Grey,Yes,Yes,Yes,No,Yes,nsw,https://www.grays.com/lot/0001-10352747/motor-vehicles-motor-cycles/2012-nissan-navara-4x4-st-d40-turbo-diesel-manual-dual-cab,"large dent on tailgate
damaged driver side taillight
windscreen chipped or cracked.",unclassified,[out_of_scope]
2007,mitsubishi,pajero,vr-x lwb (4x4) ns,wagon,automatic,petrol,182872,7.0,JMFLYV97W7J002041,No plates,Unregistered,6.0,3.8,Silver,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352749/motor-vehicles-motor-cycles/2007-mitsubishi-pajero-vr-x-lwb-4x4-ns-automatic-7-seats-wagon,"large dent on roof
large scratch on front bumper bar
flat battery. jump start or towing required
seat torn drivers seat
other warning light on
corrosion visible on engine bay
paint cracked on boot door panel
medium dent on rear panel",unclassified,[out_of_scope]
2015,ford,ecosport,trend bk,wagon,automatic,petrol,111402,5.0,MAJBXXMRKBFE32385,DN77VP,Unregistered,4.0,1.5,Black,Grey,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352750/motor-vehicles-motor-cycles/2015-ford-ecosport-trend-bk-automatic-wagon,"transmission requires attention strongly recommend inspection by qualified third party
engine light on
other warning light on
traction control light on
radio not working
hail damage visible.
large scratch on drivers door
medium dent on drivers qyarter
rear bar cracked bumper.
medium dent on passenger cant rail
large scratch on front bar",unclassified,[out_of_scope]
2015,holden,cruze,cd jh,hatchback,automatic,petrol,97267,5.0,6G1PD6EMXFL151500,DH90EP,24-07-2026.,4,1.8,Silver,Grey,Yes,Yes,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352751/motor-vehicles-motor-cycles/2015-holden-cruze-cd-jh-automatic-hatchback-pinkslip-issued-20-1-26,"front seat stains front and rear seats stained
hail damage visible.
medium dent on passenger front door and passenger quarter panel
door mirror broken drivers side
large scratch on front bar
front and rear bars damaged cracked bumper.
engine light intermittent.",unclassified,[out_of_scope]
2015,volvo,v40,cross country d4 luxury - 8speedwagon,wagon,automatic,diesel,171401,5.0,YV1MZA8HDF2073081,No plates,Unregistered,4.0,2.0,White,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352752/motor-vehicles-motor-cycles/2015-volvo-v40-cross-country-d4-luxury-turbo-diesel-automatic-8speedwagon,please refer to the photos or arrange inspection to view the condition of this vehicle.,unclassified,[out_of_scope]
2011,volkswagen,golf,gti a6,hatchback,automatic,petrol,240271,5.0,WVWZZZ1KZBW229291,GTI23K,Unregistered,4,2.0,Red,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352754/motor-vehicles-motor-cycles/2011-volkswagen-golf-gti-a6-automatic-hatchback,"other warning light on
seat torn drivers seat
hood lining sagging",unclassified,[out_of_scope]
2012,hyundai,veloster,sr turbo fs,coupe,automatic,petrol,188224,4.0,KMHTC61EMDU106172,BY62CN,Unregistered,4.0,1.6,Grey,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352755/motor-vehicles-motor-cycles/2012-hyundai-veloster-sr-turbo-fs-automatic-coupe,"rear cracked bumper.
medium scratch on passenger side rear door and quarter panel
engine light on
airbag light on
other warning light on",unclassified,[out_of_scope]
2007,volkswagen,golf,gti a5,hatchback,automatic,petrol,166448,5.0,WVWZZZ1KZ8U012204,BGK86S,Unregistered,4.0,2.0,Black,Black,Yes,No,No,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352760/motor-vehicles-motor-cycles/2007-volkswagen-golf-gti-a5-automatic-hatchback,"front cracked bumper.
large dent on passenger side rear quarter panel
seat torn drivers seat
hood lining sagging
engine light on
other warning light on
windscreen chipped or cracked.",unclassified,[out_of_scope]
2017,mitsubishi,outlander,ls 2wd safety pack zk,wagon,cvt,petrol,151759,7.0,JMFXTGF7WJJ000348,CO49PQ,Unregistered,4.0,2.0,Black,Black,Yes,No,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10352761/motor-vehicles-motor-cycles/2017-mitsubishi-outlander-ls-2wd-safety-pack-zk-cvt-7-seats-wagon,"hail damage visible.
seat torn drivers seat
medium scratch on bumper bars",unclassified,[out_of_scope]
2008,volkswagen,golf,gti a5,hatchback,automatic,petrol,142921,5.0,WVWZZZ1KZ9U010412,No plates,Unregistered,4.0,2.0,Red,Beige,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352762/motor-vehicles-motor-cycles/2008-volkswagen-golf-gti-a5-automatic-hatchback,"large dent on roof
paint peeling front bumper bar, rear spoiler",unclassified,[out_of_scope]
2007,toyota,corolla,ascent zre152r,sedan,automatic,petrol,180943,5.0,JTNBU52E702012858,BVA28R,24-01-2026,4.0,1.8,Red,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352764/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,"paint peeling bonnet, roof, bootlid
large scratch on passenger side rear door and quarter panel
large dent on drivers door
paint cracked rear bumper bar",toyota_corolla_ascent_petrol_auto_sedan_zre152r,[ok]
2010,mitsubishi,pajero,glx nt,wagon,automatic,diesel,341271,7.0,JMFLYV98WBJ001054,CYA96V,22-06-2026,4.0,3.2,Grey,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352765/motor-vehicles-motor-cycles/2010-mitsubishi-pajero-glx-nt-turbo-diesel-automatic-7-seats-wagon,"large dent on passenger side cant rail
damaged passenger side tail light
seat torn drivers seat
windscreen chipped or cracked.",unclassified,[out_of_scope]
2014,porsche,macan,s 95b,wagon,automatic,diesel,178133,5.0,WP1ZZZ95ZFLB83051,No plates,Unregistered,6.0,3.0,White,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352766/motor-vehicles-motor-cycles/2014-porsche-macan-s-diesel-95b-turbo-diesel-automatic-wagon,"large scratch on front bumper bar
medium dent on rear bumper bar
brakes require attention, recommend towing on collection
engine idling rough
sat nav not working
other warning light on
engine noise observed.
engine lacks power
engine light on",unclassified,[out_of_scope]
2015,holden,trax,ls tj,wagon,automatic,petrol,167382,5.0,KL3BA7659GB514533,No plates,Unregistered,4.0,1.8,Grey,Black,Yes,Yes,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352767/motor-vehicles-motor-cycles/2015-holden-trax-ls-tj-automatic-wagon,"large dent on passenger side rear quarter panel
large scratch on driver side rear door
door mirror broken drive side",unclassified,[out_of_scope]
2019,audi,q5,sport 2.0 tdi quatt,wagon,automatic,diesel,82124,5.0,WAUZZZFY4K2050743,123PH3,Unregistered,4,2.0,Grey,Black,Yes,No,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352768/motor-vehicles-motor-cycles/2019-audi-q5-sport-2-0-tdi-quatt-turbo-diesel-automatic-wagon,"large scratch on driver side rear door and quarter panel
medium dent on passenger side front door
engine light on
other warning light on",unclassified,[out_of_scope]
2018,ldv,g10,van,van,automatic,petrol,218445,2.0,LSKG4AL18JA090503,ECY54U,Unregistered,4,2.0,White,Grey,Yes,No,Yes,No,Yes,nsw,https://www.grays.com/lot/0001-10352770/motor-vehicles-motor-cycles/2018-ldv-g10-automatic-van,"large dent on all panels damaged
front and rear cracked bumper.
door mirror broken passenger side
corrosion visible roof, front pillars, tailgate, sill panels
seat torn drivers seat
other warning light on
engine idling rough",unclassified,[out_of_scope]
2007,honda,odyssey,luxury,people mover,automatic,petrol,198663,7.0,JHMRB18508C202431,DD80SG,Unregistered,4,2.4,Bronze,Tan,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352771/motor-vehicles-motor-cycles/2007-honda-odyssey-luxury-automatic-7-seats-people-mover,"front seat worn front seats worn
large scratch on passenger mirror, doors, rear bar
medium dent on passenger front door, quarter
paint fading roof and tailgate
medium scratch on drivers front and rear door
medium dent on drivers door
large dent on tailgate and bonnet",unclassified,[out_of_scope]
2002,holden,ute,ss vu,ute,automatic,petrol,151840,2.0,6H8VUK80F2L889856,DN48NT,04-04-2026,8.0,5.7,Grey,Red,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352774/motor-vehicles-motor-cycles/2002-holden-ute-ss-vu-automatic-ute,"transmission requires attention strongly recommend inspection by qualified third party
front seat worn front seats
radio not working
front and rear bars damaged cracked bumper.
medium scratch on rear bumper",unclassified,[out_of_scope]
2003,hyundai,elantra,gls xd,sedan,automatic,petrol,195721,5.0,KMHDN41DR3U672653,DP88LK,19-06-2026,4.0,2.0,Gold,Grey,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10352775/motor-vehicles-motor-cycles/2003-hyundai-elantra-gls-xd-automatic-sedan,"hail damage visible.
large dent on bonnet, passenger side rear quarter panel, passenger side sill panel, driver side rear door
large scratch on front bumper bar and guards
windscreen chipped or cracked.
paint peeling bumper bars, rear spoiler
controls broken drivers power window switch broken
seat torn drivers seat
dash torn or cracked
paint cracked side mirror",unclassified,[out_of_scope]
2011,ford,focus,zetec lv,hatchback,manual,petrol,258036,5.0,AFAUXXMJDUBK02535,DF25UJ,Unregistered,4.0,2.0,Blue,Black,Yes,No,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352776/motor-vehicles-motor-cycles/2011-ford-focus-zetec-lv-manual-hatchback,"engine noise observed.
paint fading various panels
large scratch on front bar, rear bar and drivers quarter panel
medium dent on drivers door
steering requires attention.
door card worn.",unclassified,[out_of_scope]
2018,mazda,cx-8,sport fwd kg,wagon,automatic,diesel,180249,7.0,JM0KG2W2A00101004,DXX14U,Unregistered,4.0,2.2,Grey,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10352777/motor-vehicles-motor-cycles/2018-mazda-cx-8-sport-fwd-kg-turbo-diesel-automatic-7-seats-wagon,"windscreen chipped or cracked.
large scratch on rear bumper bar, front bumper cracked
battery management system malfunction warning light showing
steering requires attention.",unclassified,[out_of_scope]
2006,bmw,x5,4.4i e53,wagon,automatic,petrol,164828,5.0,WBAFB52040LT83564,No plates,Unregistered,8.0,4.4,Black,Cream,Yes,Yes,No,No,Yes,nsw,https://www.grays.com/lot/0001-10352779/motor-vehicles-motor-cycles/2006-bmw-x5-4-4i-e53-automatic-wagon,"front cracked bumper. medium scratch on front bumper
hood lining sagging
engine idling rough
engine smoke visible
flat battery. jump start or towing required
suspension requires attention",unclassified,[out_of_scope]
