year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,canonical_tag,canonical_reason,price_numeric,price_text,bids_numeric
2008,TOYOTA,Hilux,SR (4x4) KUN26R Dual,Dual Cab,Manual,Diesel,293172,5.0,MR0FZ22G801166641,No plates,Unregistered,4,3.0,White,Grey,Yes,No,No,No,Yes,QLD,https://www.grays.com/lot/0001-50514479/motor-vehicles-motor-cycles/2008-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-dual-cab,"Door card Worn.
Back Seat Stains.
Paint fading Multiple panels
Dents or marks on body consistent with age and kilometres.
Front Seat Stains Both seats
Engine noise observed.",42,4200,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2016,TOYOTA,Hilux,SR5 (4x4) GUN126R Dual,Dual Cab,Automatic,Diesel,236727,5.0,MR0HA3CD100378555,1HC2HI,01-01-2025,4,2.8,Grey,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045815/motor-vehicles-motor-cycles/2016-toyota-hilux-sr5-4x4-gun126r-turbo-diesel-automatic-dual-cab,"Dents or marks on body consistent with age and kilometres.
Seat Torn Drivers seat",97,21600,2025-03-26,0,toyota_hilux_dualcab_ute_diesel_auto_sr5_4x4_2015_2023,[OK],,,
2020,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Automatic,Diesel,119309,5.0,MR0KA3CD501249718,1HFO256,10-04-2025,4,2.8,White,Black,Yes,Yes,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058171/motor-vehicles-motor-cycles/2020-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various panels",144,23500,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2021,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Automatic,Diesel,113949,5.0,MR0KA3CD701257321,1HHC151,06-04-2025,4,2.8,White,Grey,Yes,Yes,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058173/motor-vehicles-motor-cycles/2021-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,"Door card Worn.
Medium Scratch on Rh rear door
Dents or marks on body consistent with age and kilometres.",87,24600,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2022,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Automatic,Diesel,113479,5.0,MR0KA3CD801318840,1HRB369,01-09-2025,4,2.8,White,Black,Yes,Yes,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058175/motor-vehicles-motor-cycles/2022-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various panels",270,30500,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2017,TOYOTA,Hilux,SR (4x4) GUN126R Dual,Dual Cab,Automatic,Diesel,224955,5.0,MR0KA3CD901198028,No plates,Unregistered,4,2.8,White,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10347763/motor-vehicles-motor-cycles/2017-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-dual-cab,"Large Dent on Rear bumper bar
Windscreen Chipped or Cracked.",116,19400,2025-03-26,0,toyota_hilux_dualcab_ute_diesel_auto_sr_4x4_2015_2023,[OK],,,
2020,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Automatic,Diesel,148721,5.0,MR0KA3CDX01247057,1HEB948,03-05-2025,4,2.8,White,Grey,Yes,Yes,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058037/motor-vehicles-motor-cycles/2020-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Corrosion visible Various Areas",222,23500,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2020,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Automatic,Diesel,107745,5.0,MR0KA3CDX01254493,1HFD242,20-04-2025,4,2.8,White,Grey,Yes,Yes,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058172/motor-vehicles-motor-cycles/2020-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Front (disjointed) Cracked bumper.",111,25600,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2003,TOYOTA,Camry,Ateva ACV36R,Sedan,Automatic,Petrol,366974,5.0,6T153BK360X010919,UEF147,24-05-2025,4,2.4,Grey,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045821/motor-vehicles-motor-cycles/2003-toyota-camry-ateva-acv36r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Large Dent on On the front bumper
Medium Scratch on Around the back of the car
Paint peeling On the front bumper
Paint fading Along the rear passenger doors
Engine noise observed.
Windscreen Chipped or Cracked.",23,1909,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2007,TOYOTA,Aurion,Prodigy GSV40R,Sedan,Automatic,Petrol,207383,5.0,6T153KK400X284841,1EI7XL,23-05-2025,6,3.5,Blue,Black,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21045819/motor-vehicles-motor-cycles/2007-toyota-aurion-prodigy-gsv40r-automatic-sedan,"Paint peeling Rear left passenger door
Dents or marks on body consistent with age and kilometres.",37,3400,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2007,TOYOTA,Aurion,Presara GSV40R,Sedan,Automatic,Petrol,169801,5.0,6T153KK400X294089,WAA594,11-10-2025,6,3.5,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045822/motor-vehicles-motor-cycles/2007-toyota-aurion-presara-gsv40r-automatic-sedan,"Medium Scuff on Front bumper
Dents or marks on body consistent with age and kilometres.
Engine light ON",59,3509,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2001,TOYOTA,Camry,CSI SXV20R,Sedan,Automatic,Petrol,302333,5.0,6T153SK200X079440,1DSJ537,08-09-2025,4,2.2,Blue,Grey,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058188/motor-vehicles-motor-cycles/2001-toyota-camry-csi-sxv20r-automatic-sedan,"Door card Worn.
Hood Lining Sagging
Seat Torn Rear seat
Paint fading Multiple panels
Medium Dent on Rh front door
Dents or marks on body consistent with age and kilometres.
Large Dent on Lh rear door
Large Scratch on Lh rear door
Paint peeling Multiple panels
Dash Torn or Cracked",11,1500,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
1995,TOYOTA,Landcruiser,GXL (4x4) FZJ80,Wagon,Automatic,Petrol,367370,5.0,JT711UJ8008020731,No plates,Unregistered,6,4.5,Black,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045830/motor-vehicles-motor-cycles/1995-toyota-landcruiser-gxl-4x4-fzj80-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Body/panel damage Rear bumper
Damaged Passenger side
Large Scuff on Front driver side
Paint fading Around the car
Paint peeling Around the car
Seat Torn Drivers",19,1800,2025-03-26,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
1994,TOYOTA,Landcruiser,GXL (4x4) FZJ80,Wagon,Automatic,Petrol,378380,5.0,JT711UJ8008013014,No plates,Unregistered,6,4.5,Green,Grey,Yes,Yes,No,No,Yes,NSW,https://www.grays.com/lot/0001-10347843/motor-vehicles-motor-cycles/1994-toyota-landcruiser-gxl-4x4-fzj80-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Paint peeling All over
Door card Damaged.
Engine noise observed.
Suspension requires attention",46,3209,2025-03-27,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2003,TOYOTA,Celica,SX ZZT231,Hatchback,Automatic,Petrol,246452,4.0,JTDDY32T200065306,USU945,21-03-2025,4,1.8,Blue,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045959/motor-vehicles-motor-cycles/2003-toyota-celica-sx-zzt231-automatic-hatchback,"Large Scratch on Rear bar, front bar
Paint fading Roof, spoiler
Paint cracked Front bar
Paint peeling Bonnet scoop
Seat Torn Drivers seat
Hood Lining Sagging",25,2515,2025-03-27,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2006,TOYOTA,Tarago,GLX ACR50R,People Mover,Automatic,Petrol,161868,7.0,JTEGD52M607031742,UGX393,05/07/2025,4,2.4,Silver,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045997/motor-vehicles-motor-cycles/2006-toyota-tarago-glx-acr50r-automatic-7-seats-people-mover,"Large Scratch on Bonnet, rear driver side and rear bumper
Large Dent on Driver door
Medium Scratch on Front bumper
Paint fading Bonnet
Medium Dent on Boot
Corrosion visible Boot
Medium Dent on Passenger side rear door
Dents or marks on body consistent with age and kilometres.
Medium Dent on Rear drivers quarter panel
Medium Dent on Rear passenger side under tail light",34,2300,2025-03-27,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2021,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Automatic,Diesel,113855,5.0,MR0KA3CD801255691,1HGY369,18-06-2025,4,2.8,White,Charcoal,Yes,Yes,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058198/motor-vehicles-motor-cycles/2021-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Various panels",110,27300,2025-03-27,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2001,TOYOTA,Landcruiser,GXV (4x4) HDJ100R,Wagon,Automatic,Diesel,461745,5.0,JTEHC05J004005151,IR8528,19-03-2025,6,4.2,Silver,Grey,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9058203/motor-vehicles-motor-cycles/2001-toyota-landcruiser-gxv-4x4-hdj100r-turbo-diesel-automatic-wagon,"Seat Torn Driver seat
Engine light ON
Door card Worn.
Lh rear bumper Cracked bumper.
Front Seat Stains Passenger seat
Paint fading Multiple panels
Dents or marks on body consistent with age and kilometres.
Medium Scratch on Both Lh doors
Seats Removed",147,17300,2025-03-27,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2002,TOYOTA,Corolla,Conquest ZZE123R,Wagon,Automatic,Petrol,564782,5.0,JTDER22E700110639,SAN327,30-04-2025,4,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045408/motor-vehicles-motor-cycles/2002-toyota-corolla-conquest-zze123r-automatic-wagon,"Hail damage visible.
Dents or marks on body consistent with age and kilometres.",12,1109,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2005,TOYOTA,Yaris,YR NCP90R,Hatchback,Manual,Petrol,183094,5.0,JTDJW923805006033,TVC420,22-05-2025,4,1.3,Blue,Green,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046020/motor-vehicles-motor-cycles/2005-toyota-yaris-yr-ncp90r-manual-hatchback,"Dents or marks on body consistent with age and kilometres.
Large Scuff on Driver side panel
Paint fading Panel
Body/panel damage boot",21,1109,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2011,TOYOTA,Yaris,YR NCP130R,Hatchback,Manual,Petrol,163516,5.0,JTDKW3D330D506721,ZNZ654,13-08-2025,4,1.3,Black,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046236/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-ncp130r-manual-hatchback,"Dents or marks on body consistent with age and kilometres.
Paint fading Panel",53,4100,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2005,TOYOTA,Landcruiser,Prado GXL (4x4) GRJ120R,Wagon,Automatic,Petrol,454032,7.0,JTEBU29J905024090,1FH7NB,26-03-2025,6,4.0,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046234/motor-vehicles-motor-cycles/2005-toyota-landcruiser-prado-gxl-4x4-grj120r-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Dent on rear drivers side bumper / quarter",71,5100,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2005,TOYOTA,Kluger,Grande (4x4),Wagon,Automatic,Petrol,311197,7.0,JTEEP21A200138557,UHW856,08-08-2025,6,3.3,Silver,Cream,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046068/motor-vehicles-motor-cycles/2005-toyota-kluger-grande-4x4-automatic-7-seats-wagon,"Large Scratch on Passenger side rear
Dents or marks on body consistent with age and kilometres.
Paint cracked Rear
Seat Torn Front Both
Medium Dent on Passenger side lower sill
Paint fading Roof",16,1596,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2003,TOYOTA,Landcruiser,GXL UZJ100R,Wagon,Automatic,Petrol,412974,8.0,JTEHT09J805502744,SFR187,19-02-2025,8,4.7,Silver,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046239/motor-vehicles-motor-cycles/2003-toyota-landcruiser-gxl-uzj100r-automatic-8-seats-wagon,"Seat Torn Driver seat and rear left passenger seat
Large Scratch on Front bumper
Dents or marks on body consistent with age and kilometres.",123,8500,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2015,TOYOTA,Hiace,LWB KDH201R,Van,Manual,Diesel,366228,2.0,JTFHT02P200166287,1EN6PD,28-04-2025,4,3.0,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046229/motor-vehicles-motor-cycles/2015-toyota-hiace-lwb-kdh201r-turbo-diesel-manual-van,"Dents or marks on body consistent with age and kilometres.
Seat Torn On the driver seat",49,8809,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2008,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Automatic,Petrol,110904,5.0,JTNBU52E80J019114,AW52VG,Unregistered,4,1.8,Light Blue,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10910646/motor-vehicles-motor-cycles/2008-toyota-corolla-ascent-zre152r-automatic-sedan,"Large Dent on Left front guard, sill &amp; door.
Medium Dent on Roof
Dents or marks on body consistent with age and kilometres.",18,2700,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2010,TOYOTA,Corolla,Ascent ZRE152R,Hatchback,Automatic,Petrol,293230,5.0,JTNKU56E101151674,YDX110,25-04-2025,4,1.8,Red,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046003/motor-vehicles-motor-cycles/2010-toyota-corolla-ascent-zre152r-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Large Scuff on Left side of the front bumper
Body/panel damage On the rear bumper right side
Large Dent on Back of the car
Windscreen Chipped or Cracked.
Paint fading roof spoiler
Seat Torn Holes in carpet",56,3509,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2009,TOYOTA,Corolla,Conquest ZRE152R,Hatchback,Manual,Petrol,181824,5.0,JTNKU56E701109297,XJL989,15-12-2025,4,1.8,Grey,Black,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21046023/motor-vehicles-motor-cycles/2009-toyota-corolla-conquest-zre152r-manual-hatchback,"Dents or marks on body consistent with age and kilometres.
Body/panel damage Rear bumper on the left side
Medium Dent on On the roof",39,3400,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2018,TOYOTA,C-hr,AWD Koba NGX50R,Wagon,CVT,Petrol,138083,5.0,JTNLY3FX801004038,No plates,Unregistered,4,1.2,White,Black,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21046077/motor-vehicles-motor-cycles/2018-toyota-c-hr-awd-koba-ngx50r-cvt-wagon,Dents or marks on body consistent with age and kilometres.,158,16400,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2005,TOYOTA,Hilux,SR5 (4x4) GGN25R Dual,Dual Cab,Automatic,Petrol,311925,5.0,MR0FU29G604000704,TPH701,07-07-2025,6,4.0,Brown,Grey,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21046233/motor-vehicles-motor-cycles/2005-toyota-hilux-sr5-4x4-ggn25r-automatic-dual-cab,"Engine light ON
Dents or marks on body consistent with age and kilometres.",93,7800,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2007,TOYOTA,Camry,Sportivo ACV40R,Sedan,Automatic,Petrol,257696,5.0,6T153BK400X030613,YJC299,18-03-2025,4,2.4,Red,Grey,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21046214/motor-vehicles-motor-cycles/2007-toyota-camry-sportivo-acv40r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Driver door",41,2300,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2008,TOYOTA,Camry,Ateva ACV40R,Sedan,Automatic,Petrol,232782,5.0,6T153BK400X052119,WHY089,17-03-2025,4,2.4,Red,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21046036/motor-vehicles-motor-cycles/2008-toyota-camry-ateva-acv40r-automatic-sedan,"Body/panel damage Passenger door
Dents or marks on body consistent with age and kilometres.
Paint peeling Panel
Medium Scuff on Front driver side panel
Dash has cracks and has been repainted in poor condition
Interior: steering wheel damage",26,2300,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2008,TOYOTA,Aurion,AT-X GSV40R,Sedan,Automatic,Petrol,212197,5.0,6T153KK400X302291,XOA588,18-03-2025,6,3.5,Grey,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045995/motor-vehicles-motor-cycles/2008-toyota-aurion-at-x-gsv40r-automatic-sedan,"Large Dent on Rear left passenger door,front left fender and front bumper
Body/panel damage Right side of the front bumper
Corrosion visible Front right side of the bumper
Medium Dent on Rear bumper",19,1809,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2003,TOYOTA,Avalon,VXI MCX10R,Sedan,Automatic,Petrol,306806,5.0,6T153XH1006035131,SNW987,21-05-2025,6,3.0,Silver,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045994/motor-vehicles-motor-cycles/2003-toyota-avalon-vxi-mcx10r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Paint fading All around the car
Damaged Rear left light requires attention
Medium Scratch on Rear bumper",6,509,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
1991,TOYOTA,Corolla,SX SECA AE92,Hatchback,Manual,Petrol,145690,5.0,6T164AE9309682587,No plates,Unregistered,4,1.6,Grey,Grey,Yes,Yes,No,No,Yes,NSW,https://www.grays.com/lot/0001-10347893/motor-vehicles-motor-cycles/1991-toyota-corolla-sx-seca-ae92-manual-hatchback,"Dents or marks on body consistent with age and kilometres.
Corrosion visible Bonnet, roof, rear quarter panels, numerous locations
Engine idling rough
Flat Battery. Jump start or towing required
Paint peeling All over
Damaged Front park lights
Steering requires attention.
Large Dent on Numerous panels
Dash Torn or Cracked",11,609,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2017,TOYOTA,Camry,ALTISE HYBRID AVV50R,Sedan,CVT,Petrol,185099,5.0,6T1BD3FK00X154271,No plates,Unregistered,4,2.5,White,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045932/motor-vehicles-motor-cycles/2017-toyota-camry-altise-hybrid-avv50r-cvt-sedan,Dents or marks on body consistent with age and kilometres.,177,14800,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2016,TOYOTA,Camry,Atara SL Hybrid AVV50R,Sedan,CVT,Hybrid,137513,5.0,6T1BD3FK70X149570,No plates,Unregistered,4,2.5,White,Black,Yes,Yes,No,No,Yes,QLD,https://www.grays.com/lot/0001-50711503/motor-vehicles-motor-cycles/2016-toyota-camry-atara-sl-hybrid-avv50r-cvt-sedan,"Dents or marks on body consistent with age and kilometres.
Front bumper Cracked bumper.
Medium Scuff on Rear bumper
Seat Torn Driver
Back Seat worn.
Driveline requires attention, recommend inspection by qualified third party
Suspension requires attention",8,11000,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2010,TOYOTA,Hiace,LWB KDH201R,Van,Manual,Diesel,262191,3.0,JTFHT02P800063987,YBS546,30-11-2025,4,3.0,White,Black,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045930/motor-vehicles-motor-cycles/2010-toyota-hiace-lwb-kdh201r-turbo-diesel-manual-van,"Medium Dent on Front Driver side
Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Body/panel damage Rear passenger side
Large Dent on Both sides of vehicle panel",75,7009,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
1999,TOYOTA,Landcruiser,RV (4x4) FZJ105R,Wagon,Automatic,Petrol,314373,5.0,JT711UJA509013904,BW08PI,Unregistered,6,4.5,White,Grey,Yes,Yes,No,No,Yes,NSW,https://www.grays.com/lot/0001-10347916/motor-vehicles-motor-cycles/1999-toyota-landcruiser-rv-4x4-fzj105r-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Corrosion visible Rear of roof, doors, bonnet, front guards, numerous locations
Airbag light ON
Seats Removed
Seat Torn Drivers seat
Engine Smoke visible",55,4700,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2007,TOYOTA,Hiace,LWB TRH201R,Van,Automatic,Petrol,395163,3.0,JTFHX02P900022739,AQ66AC,11-07-2025,4,2.7,White,Grey,Yes,Yes,No,No,Yes,NSW,https://www.grays.com/lot/0001-10347894/motor-vehicles-motor-cycles/2007-toyota-hiace-lwb-trh201r-automatic-van,"Dents or marks on body consistent with age and kilometres.
Body/panel damage Large dents on numerous panels including roof
Corrosion visible Roof
Damaged Driver side tail light, centre brake light
Seat Torn Drivers seat
Engine light ON",42,3400,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2011,TOYOTA,Yaris,YR NCP90R,Hatchback,Automatic,Petrol,235627,5.0,JTDKW923105187545,ZBY901,01-04-2025,4,1.3,White,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046054/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-ncp90r-automatic-hatchback,"Medium Scuff on Front and rear bumper
Dents or marks on body consistent with age and kilometres.
Engine noise observed.
Engine noise observed.
Front Seat worn Drivers",52,3509,2025-03-30,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2006,TOYOTA,Yaris,YRS NCP93R,Sedan,Automatic,Petrol,293337,5.0,JTDBT923601053078,No plates,Unregistered,4,1.5,Light Blue,Black,Yes,Yes,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50514530/motor-vehicles-motor-cycles/2006-toyota-yaris-yrs-ncp93r-automatic-sedan,"Brakes require attention, Recommend towing on collection
Dents or marks on body consistent with age and kilometres.
Paint peeling Roof
Paint fading Rear Bumper, Both Side Mirrors",33,1609,2025-03-31,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2010,TOYOTA,Yaris,YR NCP90R,Hatchback,Automatic,Petrol,304172,5.0,JTDJW923605159994,XYV137,29-10-2025,4,1.3,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046324/motor-vehicles-motor-cycles/2010-toyota-yaris-yr-ncp90r-automatic-hatchback,"Front Seat worn Drivers seat
Large Dent on RHR quarter panel,
Dents or marks on body consistent with age and kilometres.
Large Scratch on Rear bar,front bar, quarter panel
Rear bar Cracked bumper.",29,2309,2025-03-31,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2005,TOYOTA,Prius,Hybrid NHW20R,Hatchback,CVT,Hybrid,291401,5.0,JTDKB20U203045957,TZC164,09-03-2025,4,1.5,Gold,Cream,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046279/motor-vehicles-motor-cycles/2005-toyota-prius-hybrid-nhw20r-cvt-hatchback,"Paint peeling On the hood roof and back of the car
Hail damage visible.
Dents or marks on body consistent with age and kilometres.",23,4300,2025-03-31,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2006,TOYOTA,Corolla,Ascent Seca ZZE123R,Hatchback,Automatic,Petrol,107733,5.0,JTDKR22E400281075,WMJ540,11/06/2025,4,1.8,White,Black,Yes,No,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046293/motor-vehicles-motor-cycles/2006-toyota-corolla-ascent-seca-zze123r-automatic-hatchback,"Damaged RH tail light chipped
Medium Scratch on LHF door, LHF quarter panel,
Seat Torn Drivers seat
Dents or marks on body consistent with age and kilometres.",44,4400,2025-03-31,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2001,TOYOTA,Landcruiser,GXL (4x4) FZJ105R,Wagon,Automatic,Petrol,534122,7.0,JTECJ09J905502364,No Plates,Unregistered,6,4.5,Maroon,Grey,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21046265/motor-vehicles-motor-cycles/2001-toyota-landcruiser-gxl-4x4-fzj105r-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Around the car
Paint fading Around the car
Seats Removed
Corrosion visible Around the car
Front Seat worn Drivers",75,4700,2025-03-31,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2004,TOYOTA,Landcruiser,Sahara (4x4) HDJ100R T D,Wagon,Automatic,Diesel,368197,8.0,JTEHC05J704021847,2AG7TL,07-05-2025,6,4.2,Black,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046262/motor-vehicles-motor-cycles/2004-toyota-landcruiser-sahara-4x4-hdj100r-t-d-auto-8-seats-wagon,"Front Seat worn Drivers seat, passenger seat
Dents or marks on body consistent with age and kilometres.",1,28010,2025-03-31,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2011,TOYOTA,Landcruiser,GX (4X4) VDJ79R,Cab Chassis,Manual,Diesel,298568,3.0,JTELV71J100020882,1XK1II,19-11-2025,8,4.5,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046470/motor-vehicles-motor-cycles/2011-toyota-landcruiser-gx-4x4-vdj79r-turbo-diesel-manual-cab-chassis,"Dents or marks on body consistent with age and kilometres..
Corrosion visible On the bullbar and the back of the car",124,27300,2025-03-31,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2013,TOYOTA,Hiace,SLWB TRH221R Refrigerated,Van,Automatic,Petrol,268471,3.0,JTFPX22P700042141,1TF7XL,03-05-2025,4,2.7,White,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21046371/motor-vehicles-motor-cycles/2013-toyota-hiace-slwb-trh221r-automatic-refrigerated-van,Dents or marks on body consistent with age and kilometres.,1,17009,2025-03-31,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
